date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:18	210727/210727	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:48:17%20GMT	https://www.hsbc.co.uk/wealth/insights/fx-insights/fx-viewpoint/2024-05-06/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/fx-insights/fx-viewpoint/2024-05-06/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:19	207078/207078	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:48:17%20GMT	https://www.hsbc.co.uk/wealth/insights/market-outlook/special-coverage/2024-05-02/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/market-outlook/special-coverage/2024-05-02/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:19	680023/680023	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:48:16%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/shutterstock-1723230325-dcm-54602.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/shutterstock-1723230325-dcm-54602.jpg	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:20	204565/204565	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:48:20%20GMT	https://www.hsbc.co.uk/wealth/insights.html/page-2/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights.html/page-2/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:20	161694/161694	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Jun%202024%2015:48:21%20GMT	https://www.hsbc.co.uk/wealth/insights/investment-essentials/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/investment-essentials/index.html	(from https://www.hsbc.co.uk/investments/existing-customers/)
16:48:20	197841/197841	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:48:21%20GMT	https://www.hsbc.co.uk/wealth/insights.html/page-3/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights.html/page-3/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:20	88180/88180	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20May%202024%2000:37:40%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-1-1600x900.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-1-1600x900.jpg	(from https://www.hsbc.co.uk/investments/existing-customers/goal-based-investing/)
16:48:20	53322/53322	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:48:22%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-2-1600x900.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-2-1600x900.jpg	(from https://www.hsbc.co.uk/investments/existing-customers/goal-based-investing/)
16:48:21	48221/48221	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:48:22%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-3-1600x900.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-3-1600x900.jpg	(from https://www.hsbc.co.uk/investments/existing-customers/goal-based-investing/)
16:48:21	90178/90178	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:48:23%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-6-1600x900.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-6-1600x900.jpg	(from https://www.hsbc.co.uk/investments/existing-customers/goal-based-investing/)
16:48:22	57431/57431	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:48:23%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-4-1600x900.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-4-1600x900.jpg	(from https://www.hsbc.co.uk/investments/existing-customers/goal-based-investing/)
16:48:22	64435/64435	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:48:24%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-5-1600x900.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-5-1600x900.jpg	(from https://www.hsbc.co.uk/investments/existing-customers/goal-based-investing/)
16:48:23	52017/52017	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20May%202024%2000:37:52%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-8-1-1600x900.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/gb/images/wealth/screenshots/11411-screen-8-1-1600x900.jpg	(from https://www.hsbc.co.uk/investments/existing-customers/goal-based-investing/)
